commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,moyen_paiement,region_livraison,devise,source,annee,mois,trimestre,jour_semaine
CMD-Q1-00349,CLI0409,PRD0080,8,-131.51,1052.08,2024-03-27,livrée,Chèque,PACA,EUR,Q1_2024,2024.0,3.0,1.0,Wednesday
CMD-Q1-00608,CLI0330,PRD0028,2,-59.7,119.4,2024-03-26,livrée,PayPal,PACA,EUR,Q1_2024,2024.0,3.0,1.0,Tuesday
CMD-Q1-01088,CLI0219,PRD0057,7,-85.5,598.5,2024-02-26,livrée,PayPal,PACA,EUR,Q1_2024,2024.0,2.0,1.0,Monday
CMD-Q1-01341,CLI0318,PRD0137,3,-54.72,164.16,2024-02-08,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024.0,2.0,1.0,Thursday
CMD-Q1-01428,CLI0118,PRD0147,8,-56.16,449.28,2024-01-01,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024.0,1.0,1.0,Monday
CMD-Q1-01675,CLI0247,PRD0077,2,-151.78,303.56,2024-03-27,livrée,Chèque,Occitanie,EUR,Q1_2024,2024.0,3.0,1.0,Wednesday
CMD-Q1-01876,CLI0099,PRD0055,4,-45.75,183.0,2024-03-11,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024.0,3.0,1.0,Monday
CMD-Q1-02090,CLI0250,PRD0126,8,-82.76,662.08,2024-02-28,livrée,CB,PACA,EUR,Q1_2024,2024.0,2.0,1.0,Wednesday
CMD-Q1-02803,CLI0458,PRD0089,8,-93.09,744.72,2024-02-10,livrée,CB,PACA,EUR,Q1_2024,2024.0,2.0,1.0,Saturday
CMD-Q2-00249,CLI0036,PRD0070,4,-28.37,113.48,2024-05-02,livrée,CB,Nouvelle-Aquitaine,EUR,Q2_2024,2024.0,5.0,2.0,Thursday
CMD-Q2-00681,CLI0367,PRD0093,7,-62.68,438.76,2024-04-21,annulée,CB,PACA,EUR,Q2_2024,2024.0,4.0,2.0,Sunday
CMD-Q2-01026,CLI0299,PRD0059,3,-117.97,353.91,2024-05-13,livrée,Virement,Occitanie,EUR,Q2_2024,2024.0,5.0,2.0,Monday
CMD-Q2-01292,CLI0097,PRD0046,6,-69.9,419.4,2024-06-18,livrée,PayPal,PACA,EUR,Q2_2024,2024.0,6.0,2.0,Tuesday
CMD-Q2-01398,CLI0097,PRD0116,1,-52.36,52.36,2024-05-11,livrée,CB,Occitanie,EUR,Q2_2024,2024.0,5.0,2.0,Saturday
CMD-Q2-01428,CLI0410,PRD0141,5,-326.57,1632.85,2024-05-22,livrée,Chèque,Auvergne-RA,EUR,Q2_2024,2024.0,5.0,2.0,Wednesday
CMD-Q2-02321,CLI0326,PRD0123,4,-71.91,287.64,2024-05-04,livrée,CB,Île-de-France,EUR,Q2_2024,2024.0,5.0,2.0,Saturday
CMD-Q2-02543,CLI0378,PRD0116,5,-52.36,261.8,2024-06-13,livrée,Virement,Île-de-France,EUR,Q2_2024,2024.0,6.0,2.0,Thursday
CMD-Q2-02618,CLI0479,PRD0088,6,-793.25,4759.5,2024-04-16,livrée,CB,Île-de-France,EUR,Q2_2024,2024.0,4.0,2.0,Tuesday
CMD-Q2-02721,CLI0328,PRD0098,6,-37.93,227.58,2024-04-15,retournée,CB,Auvergne-RA,EUR,Q2_2024,2024.0,4.0,2.0,Monday
CMD-Q2-02887,CLI0187,PRD0067,6,-126.77,760.62,2024-06-05,livrée,CB,Occitanie,EUR,Q2_2024,2024.0,6.0,2.0,Wednesday
CMD-Q2-03075,CLI0317,PRD0049,2,-65.78,131.56,2024-04-16,livrée,PayPal,PACA,EUR,Q2_2024,2024.0,4.0,2.0,Tuesday
CMD-Q2-03146,CLI0022,PRD0110,3,-126.57,379.71,2024-04-27,livrée,CB,Occitanie,EUR,Q2_2024,2024.0,4.0,2.0,Saturday
